Cooling_SP,Wall_U,Window_U ,Floor_U,Roof_U,Window_SHGC,Infiltration_rate ,Sensible HR_Eff,EUI-Baseline,IDD-Baseline,OCI-Baseline
20,0.2,3.1,0.5,0.2,0.3,0.3,0.58,161.5625,1.030256,91.444375
24,0.4,3.4,0.3,0.4,0.2,0.68,0.81,207.375,1.207055,117.37425
22,0.6,2.5,0.2,0.4,0.2,0.3,0.69,145.875,1.146428,82.56525
24,0.6,2.8,0.5,0.3,0.2,0.68,0.6,207.375,0.971615,117.37425
21,0.8,1.6,0.3,0.3,0.2,0.62,0.75,197.7291667,0.879864,111.9147083
25,0.7,2.8,0.5,0.2,0.1,0.62,0.67,204.9583333,1.115167,116.0064167
22,0.6,2.7,0.4,0.2,0.3,0.35,0.6,150.7083333,1.173404,85.30091667
23,0.4,1.6,0.4,0.3,0.3,0.79,0.61,239.9166667,1.462208,135.7928333
23,0.4,1.5,0.8,0.4,0.3,0.73,0.71,230.2708333,1.62404,130.3332917
21,0.8,3.3,0.7,0.2,0.2,0.59,0.62,191.6875,0.872757,108.495125
25,0.5,1.5,0.5,0.4,0.3,0.36,0.54,167.5833333,1.652718,94.85216667
24,0.6,2.4,0.3,0.4,0.2,0.79,0.73,224.25,1.135277,126.9255
21,0.7,2.9,0.8,0.3,0.3,0.35,0.68,165.1666667,1.36146,93.48433333
24,0.2,1.9,0.2,0.3,0.2,0.71,0.5,226.6666667,0.748856,128.2933333
21,0.4,1.4,0.3,0.3,0.1,0.77,0.64,227.875,0.884834,128.97725
24,0.4,3.4,0.3,0.3,0.3,0.48,0.54,173.6041667,1.269555,98.25995833
24,0.4,3.3,0.5,0.3,0.2,0.31,0.8,159.1458333,0.994822,90.07654167
21,0.5,1.4,0.7,0.2,0.3,0.59,0.73,192.8958333,1.383456,109.1790417
22,0.7,2.3,0.7,0.3,0.3,0.38,0.56,157.9375,1.417622,89.392625
23,0.8,2.8,0.5,0.4,0.2,0.65,0.65,203.75,1.218975,115.3225
23,0.5,3.2,0.6,0.3,0.3,0.72,0.89,226.6666667,1.298712,128.2933333
21,0.5,1.6,0.5,0.4,0.1,0.46,0.73,179.6458333,1.126189,101.6795417
25,0.7,1.9,0.3,0.2,0.3,0.77,0.69,235.1041667,1.338044,133.0689583
24,0.5,2.1,0.5,0.2,0.2,0.67,0.58,217.0208333,0.63942,122.8337917
22,0.3,1.2,0.4,0.2,0.1,0.41,0.64,160.3541667,0.655835,90.76045833
24,0.4,1.9,0.2,0.4,0.2,0.7,0.71,210.9791667,1.032898,119.4142083
20,0.4,3.3,0.8,0.3,0.3,0.73,0.75,215.8125,1.2698,122.149875
24,0.6,3,0.7,0.2,0.1,0.72,0.68,207.375,1.163489,117.37425
