Cooling_SP,Wall_U,Window_U ,Floor_U,Roof_U,Window_SHGC,Infiltration_rate ,Sensible HR_Eff,EUI-Mid-future,IDD-Mid-future,OCI-Mid-future
22,0.338582837,1.139245462,0.701039726,0.37575243,0.17446532,0.980300755,0.76854682,332.7303185,1.855181039,123.4096751
20,0.585058293,1.637056445,0.249411512,0.158565294,0.139479587,0.980269554,0.715920078,331.297345,1.106257164,122.8781853
23,0.622887344,3.391925851,0.541166741,0.170395944,0.17476411,0.980160193,0.525792546,315.1955438,1.451684133,116.9060272
22,0.447952234,1.39435405,0.283001902,0.17309625,0.187283883,0.980087609,0.654156163,332.7629583,1.47609671,123.4217812
22,0.59653206,3.43264168,0.309759991,0.312457639,0.150192192,0.979987272,0.627263711,331.5191827,1.63838102,122.9604649
23,0.465729226,2.174202206,0.692670279,0.366864866,0.142744457,0.979182492,0.772611504,313.8668333,1.644507737,116.4132085
22,0.735308737,1.489304795,0.344560864,0.293476045,0.292083961,0.978426137,0.56796532,334.8485623,2.698162394,124.1953318
23,0.669616161,2.624457588,0.315217962,0.352646131,0.117574649,0.978306221,0.877041576,331.2467425,1.474830533,122.8594168
20,0.230256452,2.779649298,0.776450132,0.232189358,0.195023978,0.977993129,0.625129896,332.9349981,1.626874397,123.4855908
22,0.286180102,2.546140565,0.206842064,0.189815078,0.238788998,0.977909086,0.840952264,333.4836167,1.794119939,123.6890734
23,0.781011973,1.929883359,0.615350148,0.375485823,0.167049235,0.97772464,0.87813415,312.8734125,1.963560938,116.0447487
24,0.46803587,2.467655929,0.638553945,0.208191646,0.2875934,0.977657364,0.554224932,315.3015967,2.372609595,116.9453622
20,0.544012929,3.00920899,0.380651824,0.348599602,0.114363286,0.977515128,0.660922318,312.3760208,1.428679346,115.8602661
20,0.703194328,2.763202789,0.756241042,0.382493203,0.124450313,0.977306876,0.531999488,331.8925333,1.672068228,123.0989406
21,0.489154956,1.915930186,0.731625816,0.266646781,0.109596181,0.977048058,0.658782787,331.3337085,1.197057492,122.8916725
22,0.316651712,1.767423929,0.610567739,0.251659391,0.119616667,0.977009376,0.513071331,331.3758783,1.193624733,122.9073133
24,0.200582018,3.258662045,0.506472104,0.24566451,0.243456403,0.976966562,0.800074482,333.5211848,1.941017192,123.7030074
20,0.297900532,3.249728283,0.485928133,0.296212693,0.11680486,0.976721036,0.836264044,312.1524483,1.240505624,115.7773431
23,0.47710222,3.390746908,0.324066512,0.158075536,0.132645284,0.976521894,0.842049025,330.5310483,0.996905165,122.5939658
21,0.477220313,3.488917006,0.505482058,0.348428268,0.289568764,0.976471423,0.855345677,315.0551306,2.686986587,116.8539479
